ocid,value,releasedate,buyer,buyer_id
ocds-0c46vo-0291-1186efa597d6d26fa14d8292184b5fc6,,2018-10-04 22:04:42.188036+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-d04749635e176cb0cf37347fde157928,,2018-10-03 22:11:24.270039+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-d7ae31601ddfc38aaaa0b8cb2ff67ebf,,2018-10-03 22:11:24.252468+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-c001122b78303a33c9674f8fe7422b93,,2018-06-12 22:01:20.104355+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-fdd5b65fbf8e227300d73a3518d1d580,,2018-05-25 22:01:52.385338+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-1bf8b9f2dc7171e05d9869439b7b4e47,,2018-05-17 12:05:45.526086+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-c65c5061-7a9e-4d9e-95b4-bc52e61ea817,0,2019-11-11 15:24:14+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-318a287f-5ed3-446b-80ff-787164f00095,0,2019-09-26 09:40:58+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-191041f3-0e2c-4c3a-a638-f9b5135b1b3e,0,2019-11-11 14:41:29+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-9497,,2019-04-24 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-8749,,2019-01-30 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,0,2019-06-03 11:40:16+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-7067,,2018-06-18 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-a6d9a5b6-0c00-42c1-bee0-d5684eb441f6,0,2019-11-11 15:07:52+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-10373,,2019-08-14 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-9657,,2019-05-13 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0005-40749,,2018-12-24 22:13:45.541018+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5951,,2017-12-18 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5675,,2017-11-10 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5564,,2017-11-02 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5764,,2017-11-22 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-0bf6286d-8367-4b12-a974-97004bedc5cd,0,2019-11-11 15:16:30+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-e9bd69e1-fe57-4bda-93a2-671e7016289c,0,2019-11-11 14:54:29+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-10619,,2019-09-19 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-7480,,2018-08-06 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5526,,2017-10-23 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5529,,2017-10-23 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-8480,,2018-12-05 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-1675,,2017-01-13 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5844,,2017-12-04 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5845,,2017-12-04 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5847,,2017-12-04 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5809,,2017-11-28 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5527,,2017-10-23 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-6845,,2018-05-09 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-6839,,2018-05-08 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-00ed8e21-2b89-40ae-9132-5c3776ba5530,0,2019-10-17 10:06:02+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-c0c34691-07e0-4752-9c20-8682e3100497,0,2019-09-25 17:15:27+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-740aadade9fc835a42fca5bb5b01d02c,,2019-09-27 22:14:48.217082+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-eb4e607aec3a735e1c8d22e42d850f9a,,2019-09-24 22:03:13.764506+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-6dd7a65f0a42fd2f95172542cc22778f,,2019-10-22 22:05:01.300567+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-0bf338e3b0df8b617a3d97ff6b790d16,,2019-11-11 22:02:16.315344+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-c8539d0f1ac4556bd0e1aa0adf17f570,,2019-11-11 22:02:16.275344+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-2e72b0b15226aa0696637b1c5139ffb7,,2019-11-07 22:02:38.098726+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-0bba6fca369ddc7642abe397088884c5,,2019-08-09 22:03:57.233447+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-8e30e87482c08f4b52b0bd55540f46f2,,2019-07-23 22:12:58.572528+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-6b695105b422a45c603a909aa9f93a46,,2019-07-02 22:06:37.389833+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-3137a1b87a181211970962936db17e8b,,2019-06-27 22:04:58.739303+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-18aeb4714178f95f75f9de6758ff94f0,,2019-05-30 22:28:55.995083+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-6c7c2db918616b62511348246a77a465,,2019-05-28 22:24:40.07166+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-f092432cf8f948332c936e0961cebad6,,2018-11-27 22:06:49.995758+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-fa5c6a35d01ecc27a57cc1adf0484696,,2018-11-26 22:03:55.108907+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-58f9910eb118fe164534af83d6929716,,2018-11-16 22:02:49.920814+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-a30b07d585a9dba2ad45eeca7f28fa13,,2018-10-22 22:04:17.886637+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-5352c870cc8634208635634d3fd22f8d,,2018-10-15 22:02:22.995059+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-ca9ff7f3634827f6c6ec7d8b3a621a2f,,2018-10-11 22:04:32.547265+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-575d8a48f54851a5c2aebfbcb443f5a9,,2018-10-09 22:01:58.629475+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-73ed8c2dd4d8443482728d93cf08b35c,,2018-09-12 22:01:28.453296+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-4b3b8b8bf066231ab4c6cbed5ebe966e,,2018-09-12 22:01:28.437956+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-db3c5b3727b38c4e3570ef42d4919c35,,2018-08-28 22:02:11.640669+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-bae75c613f3a539d80b2cf207bc0fceb,,2018-08-24 22:02:08.992426+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-abb894279da41457e8ffe522a2b8e6a3,,2018-08-24 22:02:08.946018+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-82be7b72cc5c9032addb79111c7c721d,,2018-08-24 22:02:08.931343+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-a8b687bab0e1164e4b2003eb1121bb7e,,2018-08-15 22:02:30.932729+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-a9305abfec71ff5b22953a3e2ece8fb9,,2018-07-17 22:01:54.293714+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-55ee0551f4202df0697037cd7f84c78b,,2018-06-14 22:01:23.296011+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-bbc6e9ac23b42583db2fe1401891b00a,,2019-08-15 22:09:22.077877+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-ae0b0efd-e892-4781-9c7f-11ffdd38500c,0,2019-02-22 12:28:05+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-6674,,2018-04-12 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-096dba9e-4d92-4b85-bc78-239f09e08b4f,0,2019-04-02 15:47:07+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-143d8ddb-86b1-4e2e-8d6a-8564f70d97ba,0,2019-04-02 16:37:01+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-0802eecf-eb02-403a-9d84-51395268834b,0,2019-04-02 16:03:44+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-315a93cf-e22f-4b6f-8404-826ade9e7d6d,0,2019-09-25 16:54:40+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-9a074372-1117-4c1c-88e7-535ff574b720,0,2019-09-26 10:29:06+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-d720bc37-9ef7-4d4b-bb0a-266ba33cd8eb,0,2019-09-26 10:57:44+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-f6c4986d-29b9-49ce-8a4b-1e7dc7b6641d,0,2019-09-26 11:14:56+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-e7a1a8de-a6ed-4b22-8301-3e70c69d818e,0,2019-02-22 15:08:51+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-11ef5198-7035-42f7-b866-b04bacb6e9d5,0,2019-11-11 15:45:19+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-3a1e5a46-5825-452f-b004-99f817a8a78a,0,2019-09-27 14:31:44+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-2819b3fc-bdc5-4e32-af09-326f8ecac213,0,2019-09-26 10:51:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-43c5ad5c-e64c-49de-84a7-846428d4541e,0,2019-09-26 10:44:34+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-3b6a1556-c556-4930-a754-6af20d3fe260,0,2019-09-26 09:52:05+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-70e7cdd7-c6e1-402d-a979-755315989c51,0,2019-11-11 14:37:16+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-2cb3818d-569e-4bfe-8417-a6b75596183b,0,2019-02-26 16:02:01+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-566bad00-646e-49f1-839d-63f9eddaab4a,0,2019-09-26 09:32:07+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-2b50e09d-5a12-428f-982a-5c6a7a5761bd,0,2019-11-11 15:31:51+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-2086,,2017-03-10 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
