releasedate,ocid,aw_value
21/04/2020,ocds-0c46vo-0353-APR385445,0
17/04/2020,ocds-0c46vo-0353-APR385269,0
05/03/2020,ocds-0c46vo-0353-MAR382748,0
11/02/2020,ocds-0c46vo-0353-FEB380388,51264.531
11/02/2020,ocds-0c46vo-0353-FEB380389,95320.758
23/01/2020,ocds-0c46vo-0353-JAN323201,0
11/10/2019,ocds-0c46vo-0133-479243-2019,336000
11/10/2019,ocds-0c46vo-0133-479463-2019,7500000
11/10/2019,ocds-0c46vo-0353-OCT312079,336000
11/10/2019,ocds-0c46vo-0353-OCT312097,7500000
20/09/2019,ocds-0c46vo-0133-443763-2019,0
15/08/2019,ocds-0c46vo-0353-AUG363202,0
16/07/2019,ocds-0c46vo-0353-JUL301732,0
11/07/2019,ocds-0c46vo-0353-JUL360105,0
28/06/2019,ocds-0c46vo-0353-JUN358675,0
25/06/2019,ocds-0c46vo-0133-293702-2019,0
25/06/2019,ocds-0c46vo-0353-JUN299319,0
21/06/2019,ocds-0c46vo-0353-JUN357904,0
30/05/2019,ocds-0c46vo-0353-MAY355499,0
07/05/2019,ocds-0c46vo-0001-fb1da1a5-8789-4558-abad-36096e2e72ca,0
15/04/2019,ocds-0c46vo-0133-176058-2019,0
08/04/2019,ocds-0c46vo-0133-162080-2019,12975000
08/04/2019,ocds-0c46vo-0353-APR290583,13000000
03/04/2019,ocds-0c46vo-0001-a667e8e4-96f5-435b-b43e-e947bd5a0662,0
02/04/2019,ocds-0c46vo-0353-APR289801,0
29/03/2019,ocds-0c46vo-0353-MAR349832,0
28/03/2019,ocds-0c46vo-0001-20e7db7d-9ab0-43eb-b336-2de1bdc7beac,0
01/03/2019,ocds-0c46vo-0353-MAR346917,0
22/02/2019,ocds-0c46vo-0353-FEB346213,0
20/02/2019,ocds-0c46vo-0353-FEB345863,0
19/02/2019,ocds-0c46vo-0353-FEB345791,0
23/01/2019,ocds-0c46vo-0353-JAN342765,0
18/12/2018,ocds-0c46vo-0001-70599f5c-6ce6-44ec-92a0-3980330135ae,0
09/12/2018,ocds-0c46vo-0001-122036e8-b458-4e61-90c4-1049d5735bdb,0
08/12/2018,ocds-0c46vo-0133-541919-2018,0
08/12/2018,ocds-0c46vo-0133-541923-2018,0
08/12/2018,ocds-0c46vo-0353-DEC277004,0
08/12/2018,ocds-0c46vo-0353-DEC277005,0
06/12/2018,ocds-0c46vo-0001-afbedfbf-4177-419e-a96c-f19687683463,0
22/11/2018,ocds-0c46vo-0133-515268-2018,0
22/11/2018,ocds-0c46vo-0353-NOV275055,0
22/11/2018,ocds-0c46vo-0001-874cd762-5916-4dfc-a017-29d456c6c292,0
09/11/2018,ocds-0c46vo-0133-494507-2018,103376000
09/11/2018,ocds-0c46vo-0353-NOV273515,104000000
05/10/2018,ocds-0c46vo-0353-OCT269635,0
04/10/2018,ocds-0c46vo-0001-ebee0ba2-01d9-49a9-8b55-9be01c7b8fa4,0
02/10/2018,ocds-0c46vo-0353-OCT333031,0
06/09/2018,ocds-0c46vo-0133-388989-2018,8000000
01/08/2018,ocds-0c46vo-0001-d9d7b46b-d627-4aa3-a075-abf213c90179,0
16/07/2018,ocds-0c46vo-0001-867197f2-574f-477a-8c69-d62f494568d1,0
01/06/2018,ocds-0c46vo-0001-58e49c48-02c4-4b9f-9125-b02d3654b279,0
18/05/2018,ocds-0c46vo-0001-c629f886-d4c8-4209-b1f1-1b4c6c8e192f,0
15/05/2018,ocds-0c46vo-0133-207091-2018,0
04/05/2018,ocds-0c46vo-0133-193675-2018,0
04/05/2018,ocds-0c46vo-0353-MAY318307,0
03/05/2018,ocds-0c46vo-0133-192133-2018,0
03/05/2018,ocds-0c46vo-0353-MAY318201,0
10/04/2018,ocds-0c46vo-0133-153453-2018,0
14/03/2018,ocds-0c46vo-0001-9fe6b605-45b6-4833-a586-439f63f315f6,0
12/03/2018,ocds-0c46vo-0353-MAR313193,0
09/02/2018,ocds-0c46vo-0353-FEB309624,0
20/12/2017,ocds-0c46vo-0133-510114-2017,2162011.5
29/08/2017,ocds-0c46vo-0133-338482-2017,0
05/08/2017,ocds-0c46vo-0353-AUG210093,0
04/08/2017,ocds-0c46vo-0353-AUG209908,196000
04/08/2017,ocds-0c46vo-0353-AUG209909,1163769
04/08/2017,ocds-0c46vo-0353-AUG209912,2669876
10/06/2017,ocds-0c46vo-0001-bcb691cc-4bf1-4a72-9ce8-2a6c80dc94b2,0
09/06/2017,ocds-0c46vo-0133-219764-2017,0
06/05/2017,ocds-0c46vo-0136-cd819e93-4890-e511-80fb-000c29c9ba21,0
06/05/2017,ocds-0c46vo-0136-c3ab29fc-b74d-e611-8114-000c29c9ba21,0
06/05/2017,ocds-0c46vo-0136-49fa8283-1a95-e511-8105-000c29c9ba21,0
06/05/2017,ocds-0c46vo-0136-b670a19e-4890-e511-80fb-000c29c9ba21,0
29/04/2017,ocds-0c46vo-0133-163898-2017,0
27/04/2017,ocds-0c46vo-0133-158840-2017,354584256
31/03/2017,ocds-0c46vo-0001-bb252b68-dd9d-401d-ba61-cb2261efb581,0
30/03/2017,ocds-0c46vo-0353-MAR192799,0
02/12/2016,ocds-0c46vo-0133-424663-2016,0
18/11/2016,ocds-0c46vo-0001-eca68007-4f2c-409b-a1d1-16a6c9aad32d,0
18/11/2016,ocds-0c46vo-0001-e9a8e304-ba59-40b5-9903-9a1c3eefbca5,0
15/10/2016,ocds-0c46vo-0133-361082-2016,5500000
08/10/2016,ocds-0c46vo-0133-351514-2016,128412000
19/08/2016,ocds-0c46vo-0133-287720-2016,0
09/07/2016,ocds-0c46vo-0353-JUL143086,0
21/05/2016,ocds-0c46vo-0133-173133-2016,36199928
06/05/2016,ocds-0c46vo-0133-155220-2016,0
24/11/2015,ocds-0c46vo-0133-413743-2015,565965
24/11/2015,ocds-0c46vo-0133-413877-2015,0
19/09/2015,ocds-0c46vo-0133-330780-2015,0
28/08/2015,ocds-0c46vo-0133-303421-2015,2000000000
06/08/2015,ocds-0c46vo-0133-277716-2015,2500000
15/07/2015,ocds-0c46vo-0133-248368-2015,270361984
19/06/2015,ocds-0c46vo-0133-211996-2015,558255
19/05/2015,ocds-0c46vo-0133-172801-2015,9977364
31/03/2015,ocds-0c46vo-0133-111418-2015,0
18/03/2015,ocds-0c46vo-0133-095043-2015,42992000
07/01/2015,ocds-0c46vo-0133-004678-2015,134828